id	vernacularName	source	language	countryCode	sex	lifeStage	isPreferredName
4742	Blister Beetle	Checklist of Vermont Species	eng	US	null	null	null
4742	Blister Beetles	Checklist of Vermont Species	eng	US	null	null	null
4742	Oil Beetles	TAXREF	eng	GB	null	null	null
59	Ferns	Checklist of Vermont Species	eng	US	null	null	null
59	Pteridophyte	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
4746	Tumbling Flower Beetle	Checklist of Vermont Species	eng	US	null	null	null
4746	Tumbling Flower Beetles	TAXREF	eng	GB	null	null	null
4755	Ptilodactylid Beetles	TAXREF	eng	GB	null	null	null
67	Spiny-headed Worms	Martha's Vineyard species checklist	eng	null	null	null	null
67	Thorny-headed Worms	Checklist of Vermont Species	eng	US	null	null	null
67	Acanthocephalans	Martha's Vineyard species checklist	eng	null	null	null	false
4756	Fire-colored Beetles	Checklist of Vermont Species	eng	US	null	null	null
4756	Cardinal Beetles	TAXREF	eng	GB	null	null	null
4762	Carrion Beetle	Checklist of Vermont Species	eng	US	null	null	null
4762	Burying Beetles	TAXREF	eng	GB	null	null	null
4762	Burying And Carrion Beetles	Martha's Vineyard species checklist	eng	null	null	null	true
3152041	Basswood	Checklist of Vermont Species	eng	US	null	null	null
3152041	Basswood, Lime, Linden	Martha's Vineyard species checklist	eng	null	null	null	null
3152041	Lime Tree	Martha's Vineyard species checklist	eng	null	null	null	null
3152041	Linden	Martha's Vineyard species checklist	eng	null	null	null	null
3152041	Tilleul	Martha's Vineyard species checklist	eng	null	null	null	null
3173259	Broomrape	Checklist of Vermont Species	eng	US	null	null	null
3173259	Broomrapes	TAXREF	eng	GB	null	null	null
3173259	Cancer-root	Database of Vascular Plants of Canada (VASCAN)	eng	null	null	null	false
3152041	Limes	TAXREF	eng	GB	null	null	null
3152041	Lime	Checklist of Vermont Species	eng	US	null	null	true
3152041	Lindens, Basswoods, And Lime Trees	Checklist of Vermont Species	eng	US	null	null	true
3189452	St John's-worts	TAXREF	eng	GB	null	null	null
3189452	St. John's-wort	Martha's Vineyard species checklist	eng	null	null	null	true
5547	Vinegar Flies	TAXREF	eng	GB	null	null	null
5547	Vinegar And Fruit Flies	Checklist of Vermont Species	eng	US	null	null	true
5549	Shore Fly	Checklist of Vermont Species	eng	US	null	null	null
5549	Shore-flies	TAXREF	eng	GB	null	null	null
5549	Shore Flies & Brine Flies	Checklist of Vermont Species	eng	US	null	null	false
3190076	Pricklyash	Checklist of Vermont Species	eng	US	null	null	null
3190076	Prickly-ash	Checklist of Vermont Species	eng	US	null	null	true
3190076	Prickly-ashes	Checklist of Vermont Species	eng	US	null	null	true
5564	House Fly	Martha's Vineyard species checklist	eng	null	null	null	null
5564	House-flies	TAXREF	eng	GB	null	null	null
5565	Fungus Gnat	Checklist of Vermont Species	eng	US	null	null	null
5565	Fungus Gnats	TAXREF	eng	GB	null	null	null
42	Annelids	Martha's Vineyard species checklist	eng	null	null	null	null
42	Segmented Worms	Checklist of Vermont Species	eng	US	null	null	null
42	Worm	Checklist of Vermont Species	eng	US	null	null	null
42	European Sea Mouse	Martha's Vineyard species checklist	eng	null	null	null	false
42	Worms	Checklist of Vermont Species	eng	US	null	null	false
2705744	False Melic	Database of Vascular Plants of Canada (VASCAN)	eng	null	null	null	true
2706001	Timothy	Checklist of Vermont Species	eng	US	null	null	null
2706001	Cat's-tails	TAXREF	eng	GB	null	null	null
5585	Phantom Crane Flies	TAXREF	eng	GB	null	null	null
5585	Phantom Crane Fly	Checklist of Vermont Species	eng	US	null	null	null
5587	Snipe Fly	Checklist of Vermont Species	eng	US	null	null	null
5587	Snipe-flies	TAXREF	eng	GB	null	null	null
1426461	Club-tailed Dragonflies	Checklist of Vermont Species	eng	US	null	null	true
5602	Long-horned Beetles	Checklist of Vermont Species	eng	US	null	null	null
5602	Longhorned Beetle	Martha's Vineyard species checklist	eng	null	null	null	null
5602	Longhorn Beetles	TAXREF	eng	GB	null	null	null
5602	Longhorn Beetle	United Kingdom Species Inventory (UKSI)	eng	null	null	null	true
1034699	Tiger Beetles	TAXREF	eng	GB	null	null	null
1034699	Common Tiger Beetles	Martha's Vineyard species checklist	eng	null	null	null	true
1035293	Bombardier Beetles	Checklist of Vermont Species	eng	US	null	null	true
6984	Crawling Water Beetle	Checklist of Vermont Species	eng	US	null	null	null
6984	Crawling Water Beetles	Martha's Vineyard species checklist	eng	null	null	null	null
1036775	Worm And Slug Hunters	Checklist of Vermont Species	eng	US	null	null	true
6988	Water Boatman	Checklist of Vermont Species	eng	US	null	null	null
6988	Lesser Water-boatman	Checklist of Vermont Species	eng	US	null	null	false
6989	Burrower Bugs	Checklist of Vermont Species	eng	US	null	null	null
4741	False Darkling Beetles	Checklist of Vermont Species	eng	US	null	null	null
3189452	St. Johnswort	Martha's Vineyard species checklist	eng	null	null	null	null
5547	Fruit Fly	Martha's Vineyard species checklist	eng	null	null	null	null
2706001	Timothies	Checklist of Vermont Species	eng	US	null	null	true
7015	Cutworms	Checklist of Vermont Species	eng	US	null	null	null
7017	Brushfooted Butterflies	Checklist of Vermont Species	eng	US	null	null	null
4408414	Osprey	Martha's Vineyard species checklist	eng	null	null	null	null
1457	Bees	Martha's Vineyard species checklist	eng	null	null	null	null
1501	Mantisflies	Martha's Vineyard species checklist	eng	null	null	null	null
1458	Crickets And Grasshoppers	TAXREF	eng	GB	null	null	null
1109	Mesostigs	Checklist of Vermont Species	eng	US	null	null	true
1456	Common Land Snails And Slugs	Martha's Vineyard species checklist	eng	null	null	null	true
1335	Fork-mosses	TAXREF	eng	GB	null	null	null
2093879	Ancylids	Checklist of Vermont Species	eng	US	null	null	false
2290991	Gyro Snails	Checklist of Vermont Species	eng	US	null	null	true
2291251	Stagnalis	Checklist of Vermont Species	eng	US	null	null	null
2454456	Water Snake	Checklist of Vermont Species	eng	US	null	null	null
2457825	Garter Snakes	Checklist of Vermont Species	eng	US	null	null	null
9213370	North American Brownsnakes	Checklist of Vermont Species	eng	US	null	null	null
9391215	Kingsnakes And Milk Snakes	Checklist of Vermont Species	eng	US	null	null	true
2851	Indet. Ramshorn	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
2852	Elegant Pondsnails	Checklist of Vermont Species	eng	US	null	null	null
142	Bolidophytes	Checklist of Vermont Species	eng	US	null	null	true
182	Budding Yeasts	Checklist of Vermont Species	eng	US	null	null	true
197	Α-proteobacteria	Checklist of Vermont Species	eng	US	null	null	true
205	Hydralike Animals	Checklist of Vermont Species	eng	US	null	null	null
95	Ascomycete	Martha's Vineyard species checklist	eng	null	null	null	true
35	Moss	Checklist of Vermont Species	eng	US	null	null	true
1242983	Birch Bark Beetle	Checklist of Vermont Species	eng	US	null	null	null
1244656	Striped Ambrosia Beetle	Checklist of Vermont Species	eng	US	null	null	null
1249682	Cherry Slug Sawfly	Checklist of Vermont Species	eng	US	null	null	true
1249695	Bristly Rose Sawfly	Checklist of Vermont Species	eng	US	null	null	true
1249700	European Apple Sawfly	TAXREF	eng	GB	null	null	null
1249706	Yellowheaded Spruce Sawfly	Integrated Taxonomic Information System (ITIS)	eng	null	null	null	null
1249710	Elm Sawfly	Checklist of Vermont Species	eng	US	null	null	null
1249717	Purslane Sawfly	Checklist of Vermont Species	eng	US	null	null	true
1249727	Redheaded Pine Sawfly	Checklist of Vermont Species	eng	US	null	null	null
1249728	White Pine Sawfly	Checklist of Vermont Species	eng	US	null	null	null
1249729	European Pine Sawfly	TAXREF	eng	GB	null	null	null
1249735	Red Pine Sawfly	Checklist of Vermont Species	eng	US	null	null	true
1249740	European Spruce Sawfly	TAXREF	eng	GB	null	null	null
1309692	Currant Gall	Martha's Vineyard species checklist	eng	null	null	null	false
1309699	Gall Wasp	Checklist of Vermont Species	eng	US	null	null	null
1310556	Red Bee	Checklist of Vermont Species	eng	US	null	null	false
1311527	European Hornet	Checklist of Vermont Species	eng	US	null	null	null
1311649	Guêpe Germanique	Checklist of Vermont Species	eng	US	null	null	null
1311815	Bald-faced Hornet	Martha's Vineyard species checklist	eng	null	null	null	true
1311820	Common Aerial Yellowjacket	Checklist of Vermont Species	eng	US	null	null	true
1318874	Red Ant	TAXREF	eng	GB	null	null	null
1318973	Incomplete Ant	Checklist of Vermont Species	eng	US	null	null	true
1334821	European Wool Carder Bee	Martha's Vineyard species checklist	eng	null	null	null	true
1334902	Oblong Woolcarder	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1335505	Patchwork Leafcutter Bee	Checklist of Vermont Species	eng	US	null	null	true
1335607	Rugose-fronted Resin Bee	Checklist of Vermont Species	eng	US	null	null	true
1335648	Alfalfa Leaf-cutter Bee	Checklist of Vermont Species	eng	US	null	null	null
1341976	Honeybee	Checklist of Vermont Species	eng	US	null	null	false
1342324	Eastern Carpenter	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1343427	Maculated Cuckoo Nomad Bee	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	false
1343444	Orange-tailed Nomad	Checklist of Vermont Species	eng	US	null	null	true
1343468	Black-and-yellow Nomad	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1343471	Cuneate Cuckoo Nomad Bee	Checklist of Vermont Species	eng	US	null	null	true
1343472	Slender Cuckoo Nomad Bee	Checklist of Vermont Species	eng	US	null	null	true
1343497	Austral Cuckoo Nomad Bee	Checklist of Vermont Species	eng	US	null	null	true
1343590	Banks' Nomad Bee	Checklist of Vermont Species	eng	US	null	null	true
1343619	Belle Nomad Bee	Martha's Vineyard species checklist	eng	null	null	null	true
1343627	Charming Nomad	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1343630	Denticulate Nomad	Checklist of Vermont Species	eng	US	null	null	true
7014	Midget Moths	Checklist of Vermont Species	eng	US	null	null	false
1343610	Yellow-striped Cuckoo Nomad Bee	Checklist of Vermont Species	eng	US	null	null	true
7015	Owlet Moths	Checklist of Vermont Species	eng	US	null	null	null
7016	Prominent Moths	Martha's Vineyard species checklist	eng	null	null	null	true
1336906	Small Mason Bees	Checklist of Vermont Species	eng	US	null	null	true
1337664	Mason Bee	Checklist of Vermont Species	eng	US	null	null	false
7017	Admirals	Martha's Vineyard species checklist	eng	null	null	null	null
7017	Purples	Checklist of Vermont Species	eng	US	null	null	null
215	Sea Lily	Checklist of Vermont Species	eng	US	null	null	null
225	Snails	Checklist of Vermont Species	eng	US	null	null	null
255	Clitellata	Martha's Vineyard species checklist	eng	null	null	null	false
1925804	Holarctic Azures	Checklist of Vermont Species	eng	US	null	null	true
1927718	Satyres	Checklist of Vermont Species	eng	US	null	null	true
1929153	Copper Butterflies	Checklist of Vermont Species	eng	US	null	null	true
320	Pyrenomycete	Checklist of Vermont Species	eng	US	null	null	false
329	Chlorophycean Green Algae	Checklist of Vermont Species	eng	US	null	null	true
1932378	Green Hairstreaks	Checklist of Vermont Species	eng	US	null	null	true
337	Β-proteobacteria	Checklist of Vermont Species	eng	US	null	null	true
353	Ostracod	Martha's Vineyard species checklist	eng	null	null	null	null
2481126	Sabine's Gulls	Martha's Vineyard species checklist	eng	null	null	null	null
2867579	Duckweed	Checklist of Vermont Species	eng	US	null	null	false
8365953	Siberian Dogwood	Checklist of Vermont Species	eng	US	null	null	null
2705064	Millet	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
2706077	Bluestem	TAXREF	eng	GB	null	null	null
2926960	Thymes	TAXREF	eng	GB	null	null	null
2926981	Sage	Martha's Vineyard species checklist	eng	null	null	null	null
2927122	Water-horehound	Database of Vascular Plants of Canada (VASCAN)	eng	null	null	null	true
2927228	Hedgenettles	Martha's Vineyard species checklist	eng	null	null	null	true
3051713	Pepperweed	Martha's Vineyard species checklist	eng	null	null	null	null
2933951	Milkvetches	Checklist of Vermont Species	eng	US	null	null	true
2882411	Water Lily	Checklist of Vermont Species	eng	US	null	null	null
3042506	Cabbages And Mustards	Checklist of Vermont Species	eng	US	null	null	true
2867778	Duckmeat	Checklist of Vermont Species	eng	US	null	null	null
2416	Buckwheat Family	Martha's Vineyard species checklist	eng	null	null	null	true
2497	Mints	Martha's Vineyard species checklist	eng	null	null	null	null
2505	Heath Family	Checklist of Vermont Species	eng	US	null	null	true
2671	Spring Snails	Checklist of Vermont Species	eng	US	null	null	false
2790	Diapriids	Checklist of Vermont Species	eng	US	null	null	null
4305	Electric Light Bugs	Martha's Vineyard species checklist	eng	null	null	null	null
4312	Velvet Water Bugs	Catalogue of Life	eng	null	null	null	null
4319	Jumping Tree Bugs	Martha's Vineyard species checklist	eng	null	null	null	null
4342	Ants	TAXREF	eng	GB	null	null	null
4345	Melittids	Checklist of Vermont Species	eng	US	null	null	null
4349	Scelionid Wasps	TAXREF	eng	GB	null	null	null
4352	Digger Wasps	Checklist of Vermont Species	eng	US	null	null	null
